name,alt,path,link
jordan,my badge!,jordan.gif,/
haylin,haylin,haylin.webp,https://haylinmoore.com/
jasmine,s3gfault,s3gfault.gif,https://s3gfault.dev/
kush,kush,kush.png,https://skushagra.com/
gianni,gianni,gianni.webp,https://giannirosato.com/
sam,sam,sam.webp,https://samranda.com/
yui,yui,zeroptr.png,https://zptr.cc/88x31/
mat,mat,mat.webp,https://matdoes.dev/retro
rain,rain,slonk.apng,https://slonk.ing/
golden,golden,golden_stack.webp,https://goldenstack.net/
hypnospace-outlaw,fun game,beefbrain.gif,https://www.hypnospace.net/
umass,my school!,umass.webp,https://umass.edu/
